일련번호,설교일,예배종류,성경본문,추가본문,설교제목,설교 요약,메모,설교록정보,파일코드
64,1985-02-24,주일오후,요 6:53-57,,주님의 피와 살,"서론
예수님의 피와 살은 예수님의 공로를 말씀하심과  예수님의 몸과 생명으로 설정하신 공로
본론
1.예수님의 피와 살의 공로로 인해서 생겨지고, 자라고, 장성해지고, 승리한 것만이 생명 있음과  첫째 아담에세 속한 것을 치료 성화 시키는 것도 예수님의 피와 살로만 됨
2.공로를 말씀하지 않고 피와 살을 말씀하신 이유: 이 공로 설정의 고난을 알아 이 공로를 입고 보존하고 다른 사람에게 전하는 데는 꼭같은 고난이 있음을 말씀하시기 위함
3.예수님의 피와 살은 모든 산 것의 종자,양식,장성,승리가 됨과 첫째 아담에게 속한 모든 것을 개조 성시키는 것도 예수님의 피와 살로만 됨, 그 세부적 예증 설명
4.세가지 공로에서 나온 것은 다 산 것이며 첫째 아담에게 속한 것은 예수님의 피와 살로 치료함을 받을 것
5.예수님의 피로 인해서 된 것은 예수님의 피로 살게 됨
6.예수님의 피와 살을 먹을 수 없는 요소는 죽은 것
통송기도 후:성찬 먹은 것을 더럽히지 말고 하나님이 축복하실 수 있는 깨끗한 서부교회가 되자. 우리가 되는 것은 하나님의 축복으로 된다 ",,117호 104쪽,1985022402
65,1985-02-26,화-새벽,신 28:1-15,,두가지 할 일,"하나님 시키시는 일과 이루어지는 결과에 대해
겉사람은 부패해지나 속사람은 점점 장성해져서 주님과 결혼할 때가 됬다는 것이니
늙어지는 것은 하나님의 말씀대로 되어지는 것이며,이제 새끼를 기르는 것은 몸볻다 행동,행동보다 마음으로 말할 것을 말씀하심
마음으로 일한  예증을 드심
더 능력있는 것을 말씀하시고 이렇게 우리를 붙들고 역사하시고 우리 몸보다 마음,마음보다 영이 하나님에게 피동되게 하려는 것이 하나님의 목적이니 우리의 할 일은 두가지만 하면 된다
시키는 대로만 하면 지극히 큰 능력이 와서 역사하시는데 내 비뚤어진 소원과 욕심대로 되는 것이 아니고 전지한 당신이 보실때에  좋은 것이 이루어지는 것이다
",,117호 133쪽,1985022620
66,1985-02-27,수-새벽,빌 4:4,,믿음으로 인한 가장 큰 기쁨은 인간병 고치는 것,"대내전 대외전의 전투 생활 할 때에 가질 수 있는 기쁨
믿음으로 인한 수입의 기쁨 중 가장 큰 기쁨은 인간병 고친 것:믿음으로  효력 본 여러 사건들의 나열 공과 인용-38년된 병자의 나음인용
믿음으로 인한 기쁨 중 가장 기쁜 것은 인간병 고친 것
믿음을 떠나서 산 것은 다 죽는 것과 믿음으로 된 사람은 죽지 않음
믿음으로 모든 것을 다 할 수 있는 것 중에 제일 기쁜 것은 인간병 고친 것
믿음으로 모든 것을 다 할 수 있다
",,117호 151쪽,1985022730
67,1985-02-27,수요일저녁,딤후 3:10-17,,,,,117호 163쪽,1985022733
68,1985-03-01,지권찰회,사 1:18-19,,회개운동,"1. 회개 안 하면 징계받는다
2. 회개 운동에 전심을 기울이자",,117호 179쪽,1985030181
69,1985-03-02,토-새벽,히 11:1-2,,,,,117호 181쪽,1985030260
70,1985-03-03,주일-새벽,삼상 15:22-23,,청종의 권위(청종으로 마련하는 창조와 섭리),"학생들에게 가르칠 공과 ,청종
주님의 어떠하심과 성경을 보고 이것을 아는 것의 중요성
언제 어디서나 우리와 함께 하시는 하나님
현실에서 우리와  상관하시는 말씀의 정체
현실에서 우리와  상관하시는 말씀이 하는 일은 두가지,창조와 섭리
하나님의 하시는 창조와 섭리 역사의 성질과 이에 대한 주의 및 창조와 섭리를 받는 방법은 청종
청종을 통해서 창조와 섭리 받은 다니엘의 예증
8.우리에게 창조와 섭리 두가지 위해서 주신 현실에서 말씀대로 청종하면 이루어짐의 두가지 가치
9.교회의 신앙에 따라서 좌우되는 세상
10.청종의 가치와 마귀의 미혹",,117호 200쪽,1985030300
71,1985-03-03,주일오전,사 1:18-20,,회개해서 하나님과 하나되자,"서론
1.회개하면 평안하고회개치 않으면 망하고 죽는다
2.조물주와 피조물과의 바른관계
3.회개의 양과 질에 따라 구원과 멸망의 보응이 이루어진다
본론
1.하나님과 하나되면 평안하고 하나님과 비뚤어지면 사망이다
2.회개와 양을 채워서 하나님의 긍휼과 도움이 우리에게 오도록 이길을 속히 택하라
3.변론의 뜻
4.하나님의 법칙으로 따져 들어가자
멸망받지 않는 길은 예수님의 3가지 대속의 공로다 이러므로 나는 당신의 것이다
결론
하나님 시키시는 대로 청종하면 행복이고,청종치 않는 만큼 멸망이 따른다",,117호 215쪽,1985030301
72,1985-03-03,주일오후,사 1:18-20,,회개,"주님이 창조하신 모든 존재는 우리구원을 위한 예정이라,공산주의를 통한 하나님과의 올바른 관계를 맺기 위해 죄를 회개하라
십계명에 대한 회개
1.물질에 대한 죄를 회개할 것
2.거짓말 하는 죄를 회개할 것
  죄를 정리하는 것은 대변자의 법으로서 법적인 해결을 지워야 한다
3.도적질하는 죄를 회개할 것
4.음행 죄.음란 죄에 대해 회개할 것
5.사람을 미워한 죄 회개할 것
6.은혜의 기관을 멸시한 죄 회개할 것
7.주일날에 대한 회개
8.현실을 자기 중심으로 한 죄
9.주님이 주신 모든 것을 우상 삼았던죄
10.하나님 한 분으로서 복종치 아니한 죄 회개할 것
결론
회개에 대한 변론
 변론법은 회개의 종류를 진술하고 범죄할 때의 그 환경을 진술하고 범죄에 대한 그 형을 가해보고 진술하는 것이다
 예수님의 대속공로만으로 우리에게 하나님의 축복이 오며 대속을 거절하면 죄와 벌이 더 커지게 된다.
통성기도후
성만찬으로 인하여 깨끗해 진것을 다시 더럽히지 말라
깨끗해 지는 것은 우리가 하나님의 모형이 되는 것이니 너를 다시 더럽히지 말라 ",,117호 235쪽,1985030302
73,1985-03-04,양성원 개강예배,단 1:14-20,,배움에 대한 네가지 주의,"배움에 대해서  첫째:세상에 있는 두 지식과 그 정체 및 목적
배움에 대해서 둘째:성경에서 배우는 두가지와 배우는 자체의 주관이 옛사람으로 배우면 외식하게 됨(마23:5,요5:9-10)
어느 신학생의 실예 및 세상지식의 사용법
배움에 대해서 셋째:예수님의 대속을 입은 사람이 배우는 두가지-영감의 깨달음,행동할 종별 선택의 능력
배움에 대해서 넷째:새사람이 받는 두가지-하나님의 지시, 하나님께서 능동되어서 역사하심
이 네가지를 단계적으로 공부하여 세상이 알지 못하는 공부를 하자
",,117호 263쪽,1985030478
74,1985-03-05,장로취임 예배,벧전 5:1-5,,장로직책,"부득이 함으로 하지말고 하나님의 뜻을 좇아 자원함으로 하며-해석
더러운 이를 위하여 하지말고
겸손으로 허리를 동이라
",,117호 274쪽,1985030594
75,1985-03-07,목-새벽,삼상 15:1-3,,복음운동 방해하지 말라,"1. 본문의 내용
2. 복음 운동을 방해한 죄
3. 본문의 교훈
4. 복음 운동을 방해 하지 말라
---------- 1
서론
이스라엘의 구원역사를 방해한 자들에 대한 하나님의 복수-아말렉 족속,미리암,고라에 대한 하나님의 복수.
본론
1.복음운동에 방해하는 자에 대한 하나님의 복수를 기억하고 조심하자
2.경제면의 잘못으로 인한 복음운동 방해
3.하나님의 종들을 훼방함으로 인한 복음운동 방해
4.직접 간접으로 하나님의 복음운동에 방해하는 자들에 대한 하나님의 북수와 예증
5.우리의 방해받고 받지않는 데 따른 방해하는 자에 대한 하나님의 복수
6.경제면,말로,하나님의 종들 방해함으로 복음운동 방해하는데 대한 하나님의 복수
결론
복음운동 방해하는 자에 대한 하나님의 복수를 기억하고 복음운동에 방해하지 않도록 주의하자
",,333호 278쪽,1985030740
76,1985-03-08,금-새벽,민 12:13-16,,복음운동 방해에 대한 하나님의 복수,"구원운동을 방해하는데 대한 하나님의 복수하심의 예를 드심
훼방받을 만한 잘못이 있어서 훼방했어도 복음운동에 손해가 되었기 때문에 하나님께서 복수하신다
은사위치에 있는 사람이 자기가 잘못이 있든지,잘못이 없어도 자기로 인해서 다란 사람이 범죄 했으면 자기에게도 영향이 오는 것이니까 책임지고 노력하여 거리끼지 않도록 해야 한다
우리의 힘써 할 일에 대해 말씀하심
우리는 나의 잘못으로 다른 사람에게 거리끼지 않도록 조심해야 할 것이며, 주님에게 영광과 기쁨과 만족이 되어져야 할 것이다
제목:복음운동 방해에 대한 하나님의 복수
1. 복음운동 방해에 대한 하나님의 복수
2. 지도자의 올바른 자세
3. 흠과 주름잡힘이 없는 깨끗한자가 되라
--------- 1",,222호 294쪽,1985030850
77,1985-03-08,지권찰회,눅 16:9-11,,올바른 물질관,"1. 올바른 충성관
2.   올바른 물질 관계
3. 경제면을 잘 살펴서 하나님의 축복이 오도록하자
------ 1",,117호 303쪽,1985030881
78,1985-03-08,금요일저녁,삼상 15:9,,사울왕의 실패원인과 우리의 명심할 바,"서론
사울왕의 받은 첫 명령.아말렉족속을 진멸하라 하신 이유
본론
1.사람의 구원을 손해케 하는 데 대한 하나님의 보응과 우리의 인인관계 사물관계의 표준은 자타의 구원의 이해에 따라서
2.사울왕의 자기대로의 하나님의 명령 순종과 결과
3.사울왕의 실패의 원인인 사욕과 우리가 하나님의 뜻을 순종하는 데에는 우리의 적인 육체의 소욕, 자기중심, 자기위주가 항상 함께
있는 것을 명심할 것
4.사울왕이 실패한 또 하나의 원인: 하나님의 명령 순종함에 대한 사울왕의 표준과 하나님의 표준. 하나님의 명령 순종의 표준은 완전-사데교회(계3:2,약1:12)
5.사울왕이 실패케한 자기속의 원수 세가지 복습.우리의 싸움은 대내전 전투부터
6.사울이 왕 되기전과 왕 된 후의 자세.낮아짐으로 성공하는 기독자의 성공 비결-사도바울:내가 약할 때에 강해진다
7.두가지 복습-대내전 전투에서 대외전으로 나갈 것.겨자씨 믿음 비유 인용-하나님의 명령 순종의 표준은 완전
결론
우리 신앙생활의 적 세가지와 대내전에서 대외전으로 할 것과 하나님의 명령 복종의 표준은 완전임과 내려감으로 올라가는 기독자의 성공비결 
",,117호 310쪽,1985030853
79,1985-03-09,토-새벽,삼상 15:9,,복음운동의 세가지 적,"서론
1.사울왕의 행위와 그 결말에 대해
2.여게서 가르쳐 주는 것은 사울왕이 비참하게 망한데 대한 것을 구원도리로 알려 주신 형식계시이다
본론
  표적이 필요한 때가 되었다
1.청산유수로 설교는 잘하나 하나님이 붙들고 하는 것이 표적으로 나타나니 이것을 높이 평가하는 세대가 되었다.
2.표적보다 자기 선전시대가 된  데 대해 말씀하심
3.표적이 필요하다
4.그러나 우리는 표적을 보고도 나타내지 않고 있다
  세가지 죄악의 결과는 자살로 망하는 것이다
1.말세의 큰 죄악 세가지
2.자기중심, 자기위주, 자기욕심대로 산 결과는 멸망이다
3.하나님이 같이 하신다는 표인 표적을 요구하는 세대에 이 세가지을 가지고 한 복음운동은 자살이다
4.세가지오로 인한 사울왕에 대한 보응은 오래 후에 갚으시되 하나님의 일은 하나도 지장받지 않고 사울왕만 자멸되었다
결론
하나님의 일을 하되 세가지로 인한 결과는 하나님은 손해 안보고 저만 자멸하는 일이다",,117호 333쪽,1985030960
80,1985-03-10,주일-새벽,행 20:26-32,,말씀은 생명,"우리 신앙생활에서 중요한 것 세가지 중에 첫째-성경말씀을 읽고 듣고 새김질하는 것
둘째-기도, 기도하는 데 있어서의 주의와 방편
셋째-자타의 구원을 생각하면서 행동하는 것
세가지로 병행하여 살 때에 우리 신앙생활의 바로 됨과 첫째인 말씀의 중요성 강조
학생들에게 가르칠 공과와 방법. 이 말씀하시는 이유
말씀의 중요성
1. 신앙생활에 중요한 것 세 가지
2. 해석하지 말고 주입시켜라
3. 말씀은 영생이다
----------1",,222호 355쪽,1985031000
81,1985-03-10,공과,학 1:2-11,,성전건축 안하는 신자,,,117호 364쪽,1985031076
82,1985-03-10,주일오전,학 1:1-15,,오늘 부터 성전건축 시작하자,"본문 요약
성전을 건축하라
성전 건축 않은 결과
학개의 설교
오늘 부터 해봅시다
  
제목:성전지대를 놓은 후부터 복을 주심//성전건축
서론
육체의 이스라엘에게 일차적으로 임한 물질의 성전(구약교회의 법규들이 폐지되지 않고 신약교회에 계속 명령한 율법이 되어 있다)
본론
1.하나님의 성전은 황폐하였으나 자기 일에만 급급하다 그러기 때문에 노력보다 결과가 적다-성전 짓는 것은 예수님의 3가지 대속을 입고 벗지 않는 것
2.각자 하는 일들의 재목으로 성전건축에 힘쓰면 하나님께서 기뻐하시고 영광을 얻으니 완전성공을 할 수 있다
3.성전 건축을 뒤로 두고 자기 일에 급급하면 하나님의 재앙이 이른다
4.성전 짓지 않고 자기 일에 급급한 것을 회개해서 주님말씀대로 청종하면 주님이 함께 하신다
결론
성전건축을 시작해서 시작일 전과 후일의 변화를 보자.분명히 하나님이 함께 하심을 볼 수 있을 것이다
============ 2",,333호 366쪽,1985031001
83,1985-03-10,주일오후,학 2:1-23,,성전 건축만 하자,"오늘의 신앙상태
성전건축은 주님과 하나 되려는 것
성전 건축에 대한 보상
백성들의 착각
성전 건축 이전의 모양
제목:성전전축
서론
 하나님의 백성들이 성전은 짓지 아니하고 자기 살 길에만 급급함으로 인하여 얼마나 비참하고 그것이 결국 자기를 패망하는 길로 만들었다
본론
1.성전 건축은 주님의 피공로로 되어지는 것이니 하나님의 말씀을 범하지 아니할려고,말씀으로 완전 순종을 이루는 것이 사죄면의 성전을 짓는 것이요
성신의 감화를 소멸치 아니하고, 영감대로 순종하는 것이 칭의면의 성전을 짓는 것이요, 하나님과 한덩어리 되는 것이 화친의 성전을 짓는 것이니 이것이 곧 성전건축이라
결론
이제는 네가 살든지 죽든지 사죄와 칭의와 화친의 세가지 성전 건축하는 데에 끝까지 완전히 건축하라
그리하면 완전자가 우리를 책임지리니 곧 영계와 우주계는 다 우리의 것이 되는 것이라
================== 2
 ",,333호 389쪽,1985031002
84,1985-03-11,월-새벽,학 2:18-19,,지극히 큰 구원,"추억생활의 필요성
지극히 큰 구원
순종만 하라
제목:성전건축은 믿음으로 
서론
1.과거를 추억함의 중요성과 다윗 예증
2.성전 건축하는 이스라엘에 대한 하나님의 약속
본론
3.성전 건축하는 것은 예수님의 대속의 공로를 입는 것. 즉 주님과 하나되어 주님이 
우리안에서 역사하는 것-우리의 구원
4.믿음으로만 되는 우리의 구원. 하나님이 시키시는 것을 찾아 순종하는 믿음연습을 할 것
5.하나님이 시키시는 성경말씀과 성령의 감화대로 순종하는 연습이 믿음연습
6.하나님의 섭리 인도와 그 실예
7.성경말씀.성신의 감화, 하나님의 섭리로 하나님의 뜻을 찾아 어떤 어려움이 있어도 순종하는 것이 
믿음 연습
8.말씀을 듣고 바로 깨닫지 못하는 이유: 자기중심, 자기위주, 자기사욕인 옛사람이 듣기 때문. 이로 인해
실패한 예증-사울 왕
9.성전건축은 믿음으로만. 즉 하나님처럼 온전하게 되는 우리의 구원은 믿음으로만 됨
결론
10.명령순종, 성전 짓는 생활만 하면 어디까지 궁지에 몰려 있어도 다 해결됨
======== 2",,333호 415쪽,1985031110
